City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,remire-montjoly,4.9167,-52.2667,28.02,83,0,1.54,GF,1721046139
264,fale old settlement,-9.3852,-171.2468,28.72,76,16,9.32,TK,1721046139
265,butterworth,5.3991,100.3638,30.03,73,20,1.54,MY,1721046140
266,okha,53.5739,142.9478,17.07,90,86,3.59,RU,1721046141
267,mount pearl,47.5166,-52.7813,15.81,94,100,2.06,CA,1721046133
268,limassol,34.675,33.0333,32.04,70,20,6.69,CY,1721046143
269,aleg,17.0481,-13.9209,33.5,43,5,5.45,MR,1721046143
270,benguela,-12.5763,13.4055,23.75,68,59,3.51,AO,1721046144
271,kavaratti,10.5669,72.642,27.11,84,100,10.64,IN,1721046145
272,port mathurin,-19.6833,63.4167,22.35,67,70,10.82,MU,1721046146
273,portage,41.1667,-81.1998,23.97,84,40,1.54,US,1721046146
274,bel ombre,-4.6167,55.4167,27.91,74,20,7.72,SC,1721046147
275,san ignacio de velasco,-16.3667,-60.95,13.36,50,43,3.24,BO,1721046148
276,mata-utu,-13.2816,-176.1745,27.65,78,6,5.99,WF,1721046149
277,weno,7.4515,151.8468,28.66,76,100,5.52,FM,1721046138
278,kapuskasing,49.4169,-82.4331,18.05,100,100,1.54,CA,1721046150
279,vakarai,55.6035,23.8213,24.29,56,94,1.04,LT,1721046151
280,kourou,5.1552,-52.6478,28.03,84,40,1.94,GF,1721046151
281,sindgi,16.9167,76.2333,24.05,83,100,10.09,IN,1721046152
282,hotan,37.0997,79.9269,32.15,22,0,1.09,CN,1721046153
283,sishui,35.6489,117.2758,25.86,89,100,3.3,CN,1721046154
284,dores do indaia,-19.4633,-45.6017,19.61,46,15,1.26,BR,1721046154
285,goure,13.9835,10.2704,35.61,33,100,3.11,NE,1721046155
286,timimoun,29.2639,0.231,46.21,4,0,7.72,DZ,1721046156
287,new plymouth,-39.0667,174.0833,13.78,100,100,4.47,NZ,1721046157
288,mana,5.6592,-53.7767,25.55,86,57,2.47,GF,1721046157
289,new norfolk,-42.7826,147.0587,10.72,98,93,1.52,AU,1721046158
290,keflavik,64.0049,-22.5624,15.48,78,81,6.9,IS,1721046159
291,pacasmayo,-7.4006,-79.5714,16.36,86,67,3.45,PE,1721046160
292,nuevo casas grandes,30.4167,-107.9167,22.44,64,100,1.42,MX,1721046160
293,chunskiy,56.0815,99.6342,22.62,64,84,0.68,RU,1721046161
294,merizo village,13.2658,144.6691,29.31,80,77,6.8,GU,1721046162
295,sao mateus,-18.7161,-39.8589,25.2,57,7,1.44,BR,1721046163
296,coracao de jesus,-16.6853,-44.365,21.78,46,1,4.87,BR,1721046164
297,mesolongi,38.3702,21.4295,35.53,56,0,6.27,GR,1721046165
298,sengiley,53.9622,48.7944,29.04,44,0,4.79,RU,1721046165
299,sihanoukville,10.6093,103.5296,25.97,94,75,2.57,KH,1721046166
300,bridgewater,44.3835,-64.5155,25.62,77,29,3.6,CA,1721046167
301,warrnambool,-38.3833,142.4833,10.92,86,100,12.9,AU,1721046089
302,bani walid,31.7566,13.9942,42.02,13,3,4.17,LY,1721046168
303,port saint john's,-31.6229,29.5448,21.24,28,0,6.5,ZA,1721046169
304,yekaterinovka,52.0508,44.3451,30.86,34,5,4.37,RU,1721046170
305,portland,45.5234,-122.6762,15.36,87,0,2.24,US,1721045753
306,broken hill,-31.95,141.4333,9.07,67,86,7.92,AU,1721046171
307,corpus christi,27.8006,-97.3964,28.01,87,75,2.06,US,1721046172
308,grand falls-windsor,48.9332,-55.6649,20.84,84,53,0.89,CA,1721046173
309,den burg,53.0542,4.7972,23.86,74,9,0.57,NL,1721046174
310,florence,43.7667,11.25,36.19,32,0,1.79,IT,1721046081
311,kondalwadi,18.8,77.7667,27.82,81,96,4.85,IN,1721046175
312,qamdo,31.1667,97.2333,15.57,66,99,4.13,CN,1721046176
313,bonthe,7.5264,-12.505,26.55,78,100,5.76,SL,1721046176
314,kruisfontein,-34.0033,24.7314,15.6,45,0,8.47,ZA,1721046177
315,santa elena de uairen,4.6167,-61.1333,19.1,95,99,0.76,VE,1721046178
316,wailua homesteads,22.0669,-159.378,24.44,81,75,7.2,US,1721046179
317,alamosa,37.4695,-105.87,10.99,82,0,1.54,US,1721046179
318,amahai,-3.3333,128.9167,25.21,86,94,2.92,ID,1721046180
319,dudinka,69.4058,86.1778,20.99,46,8,4.09,RU,1721046095
320,yeraliyev,43.2,51.65,30.92,44,0,7.68,KZ,1721046182
321,launceston,-41.45,147.1667,11.3,87,40,8.75,AU,1721046182
322,masterton,-40.9597,175.6575,9.5,95,100,4.55,NZ,1721046112
323,castillos,-34.1667,-53.8333,6.4,76,0,0.59,UY,1721046184
324,colonia,50.9333,6.95,28.86,43,0,2.06,DE,1721046185
325,kargil,34.5667,76.1,20.11,17,19,4.93,IN,1721046185
326,cheremukhovo,60.3484,59.9851,23.88,38,100,1.63,RU,1721046186
327,novodvinsk,64.4165,40.8122,17.86,68,100,0.97,RU,1721046187
328,canete,-37.8,-73.4,5.04,86,90,1.27,CL,1721046188
329,inhambane,-23.865,35.3833,26.99,61,0,5.14,MZ,1721046188
330,richland center,43.3347,-90.3868,21.95,95,0,0.17,US,1721046189
331,nova vicosa,-17.8919,-39.3719,24.98,65,36,0.47,BR,1721046190
332,badger,64.8,-147.5333,10.93,94,75,1.54,US,1721046191
333,labrador city,52.9463,-66.9114,13.99,93,100,17.43,CA,1721046191
334,ciudad lazaro cardenas,17.9583,-102.2,25.73,84,96,1.71,MX,1721046192
335,genlis,47.242,5.2242,28.12,57,0,5.14,FR,1721046193
336,santona,43.4439,-3.4576,23.72,67,96,2.63,ES,1721046194
337,yeniseysk,58.4497,92.1703,24.42,56,94,2.37,RU,1721046196
338,san antonio de pale,-1.4014,5.6325,22.35,82,26,5.18,GQ,1721046197
339,kargasok,59.0556,80.8572,26.39,54,24,3.36,RU,1721046197
340,barra de santo antonio,-9.4047,-35.5072,27.6,63,64,4.37,BR,1721046198
341,tazovsky,67.4667,78.7,16.09,48,7,5.69,RU,1721046129
342,eyl,7.9803,49.8164,33.8,44,87,12.79,SO,1721046199
343,aosta,45.7667,7.4167,22.43,47,20,4.63,IT,1721046200
344,urumqi,43.801,87.6005,37.53,15,20,4.0,CN,1721046201
